title,distance,prices
2018 Toyota Camry Hybrid,"52,381 km  |  Hybrid  |  Mumbai",Rs. 20.9 Lakh
2015 Honda Jazz VX Petrol,"26,476 km  |  Petrol  |  Mumbai",Rs. 4.9 Lakh
2017 Hyundai Elite i20 Asta 1.2 (O) [2016],"33,919 km  |  Petrol  |  Mumbai",Rs. 6.5 Lakh
2020 Maruti Suzuki XL6 Alpha MT Petrol,"34,003 km  |  Petrol  |  Mumbai",Rs. 10.15 Lakh
2018 Maruti Suzuki Ignis Alpha 1.2 AMT,"18,491 km  |  Petrol  |  Mumbai",Rs. 5.95 Lakh
2017 Hyundai Elite i20 Asta 1.4 (O) CRDi,"35,597 km  |  Diesel  |  Mumbai",Rs. 7.25 Lakh
2016 Maruti Suzuki Ciaz VXi+,"17,248 km  |  Petrol  |  Mumbai",Rs. 5.9 Lakh
2019 Maruti Suzuki Swift ZDi AMT,"55,280 km  |  Diesel  |  Mumbai",Rs. 8.45 Lakh
2019 Toyota Glanza G CVT,"48,347 km  |  Petrol  |  Mumbai",Rs. 7.45 Lakh
2015 Honda City S,"65,505 km  |  Petrol  |  Mumbai",Rs. 5.35 Lakh
2017 Maruti Suzuki S-Cross Alpha 1.6,"49,429 km  |  Diesel  |  Mumbai",Rs. 6.95 Lakh
2018 Skoda Kodiaq Style 2.0 TDI 4x4 AT,"55,746 km  |  Diesel  |  Mumbai",Rs. 24.95 Lakh
2014 Hyundai Grand i10 Asta 1.1 CRDi (O) [2013-2017],"30,821 km  |  Diesel  |  Mumbai",Rs. 4.9 Lakh
2019 Volkswagen Ameo Highline Plus 1.5L AT (D)16 Alloy,"35,555 km  |  Diesel  |  Mumbai",Rs. 8.75 Lakh
2019 Tata Nexon XM,"53,722 km  |  Petrol  |  Mumbai",Rs. 6.75 Lakh
2022 Skoda Kushaq Style 1.5L TSI DSG,"12,895 km  |  Petrol  |  Mumbai",Rs. 17.75 Lakh
2021 Maruti Suzuki Ertiga ZXi Plus,"33,412 km  |  Petrol  |  Mumbai",Rs. 10.75 Lakh
2019 Hyundai Creta SX 1.6 AT Petrol,"30,000 km  |  Petrol  |  Mumbai",Rs. 12.85 Lakh
2019 Hyundai Creta E Plus 1.6 Petrol,"65,387 km  |  Petrol  |  Mumbai",Rs. 9.2 Lakh
2019 Skoda Octavia 1.8 TSI L&K,"41,601 km  |  Petrol  |  Mumbai",Rs. 19.25 Lakh
2016 Volkswagen Polo Highline1.2L (P),"63,924 km  |  Petrol  |  Mumbai",Rs. 5.25 Lakh
2016 Hyundai Creta 1.6 SX Plus AT Petrol,"70,899 km  |  Petrol  |  Mumbai",Rs. 8.4 Lakh
2014 Honda City 1.5 V MT,"61,941 km  |  Petrol  |  Mumbai",Rs. 5 Lakh
2018 Maruti Suzuki Dzire VXi AMT,"58,831 km  |  Petrol  |  Mumbai",Rs. 6.1 Lakh
2021 Mercedes-Benz GLA 200 [2021-2023],"12,058 km  |  Petrol  |  Mumbai",Rs. 45.5 Lakh
2018 Audi A4 35 TDI Technology,"60,600 km  |  Diesel  |  Mumbai",Rs. 26 Lakh
2015 Honda City VX,"36,426 km  |  Petrol  |  Mumbai",Rs. 6.25 Lakh
2022 Honda Amaze 1.2 S MT Petrol [2018-2020],"21,697 km  |  Petrol  |  Mumbai",Rs. 7.35 Lakh
2019 Mahindra Alturas G4 4WD AT [2018-2020],"92,800 km  |  Diesel  |  Mumbai",Rs. 21.99 Lakh
2023 Kia Carens Luxury Plus 1.5 Diesel 7 STR,"21,072 km  |  Diesel  |  Mumbai",Rs. 18.95 Lakh
2017 Maruti Suzuki Ciaz Alpha 1.4 MT,"60,645 km  |  Petrol  |  Mumbai",Rs. 6.9 Lakh
2022 Kia Seltos HTX Plus 1.5 Diesel Dual Tone,"15,520 km  |  Diesel  |  Mumbai",Rs. 17.95 Lakh
2021 Maruti Suzuki Wagon R LXi 1.0 CNG,"21,764 km  |  CNG + 1  |  Mumbai",Rs. 5.9 Lakh
2017 Toyota Innova Crysta 2.4 GX 7 STR [2016-2020],"58,231 km  |  Diesel  |  Mumbai",Rs. 15.75 Lakh
2015 Ford EcoSport Trend 1.5 Ti-VCT,"38,882 km  |  Petrol  |  Mumbai",Rs. 4.11 Lakh
2019 Tata Hexa XTA 4x2 7 STR,"25,338 km  |  Diesel  |  Mumbai",Rs. 14.5 Lakh
2016 Honda Amaze 1.2 VX AT i-VTEC,"29,488 km  |  Petrol  |  Mumbai",Rs. 4.95 Lakh
2019 Maruti Suzuki Alto 800 Lxi CNG,"45,335 km  |  CNG  |  Mumbai",Rs. 3.95 Lakh
2014 Maruti Suzuki Swift ZDi,"72,562 km  |  Diesel  |  Mumbai",Rs. 5.21 Lakh
2022 Toyota Innova Crysta GX 2.4 AT 7 STR,"10,469 km  |  Diesel  |  Mumbai",Rs. 25.45 Lakh
2017 Honda Jazz V AT Petrol,"26,460 km  |  Petrol  |  Mumbai",Rs. 6.25 Lakh
2019 Hyundai Verna E 1.4 VTVT,"30,626 km  |  Petrol  |  Mumbai",Rs. 7.15 Lakh
2020 Maruti Suzuki Ciaz Alpha Hybrid 1.5 [2018-2020],"18,752 km  |  Petrol  |  Mumbai",Rs. 8.75 Lakh
2015 Toyota Etios Cross 1.2 G,"70,657 km  |  Petrol  |  Mumbai",Rs. 4.1 Lakh
2019 Maruti Suzuki Ertiga ZXi Plus,"12,951 km  |  Petrol  |  Mumbai",Rs. 9.9 Lakh
2015 Renault Duster RxL Petrol,"33,114 km  |  Petrol  |  Mumbai",Rs. 4.79 Lakh
2020 Hyundai Aura S 1.2 AMT Petrol,"25,058 km  |  Petrol  |  Mumbai",Rs. 6.69 Lakh
2019 Renault Triber RXL [2019-2020],"17,037 km  |  Petrol  |  Mumbai",Rs. 5.79 Lakh
2018 Mahindra TUV300 T8 AMT,"97,100 km  |  Diesel  |  Mumbai",Rs. 6.99 Lakh
2017 Skoda Rapid Style 1.6 MPI AT,"39,245 km  |  Petrol  |  Mumbai",Rs. 7.75 Lakh
2020 MG Hector Plus Sharp Hybrid 1.5 Petrol,"18,842 km  |  Petrol  |  Mumbai",Rs. 15.95 Lakh
2020 Hyundai Elite i20 Sportz Plus 1.2,"18,314 km  |  Petrol  |  Mumbai",Rs. 6.85 Lakh
2015 Honda CR-V 2.4 AT,"77,301 km  |  Petrol  |  Mumbai",Rs. 10.45 Lakh
2016 Skoda Rapid 1.6 MPI Ambition Plus AT,"13,800 km  |  Petrol  |  Mumbai",Rs. 6.55 Lakh
2016 Honda Jazz V Petrol,"58,800 km  |  Petrol  |  Mumbai",Rs. 5.5 Lakh
2015 Maruti Suzuki Baleno Delta 1.2 AT,"47,056 km  |  Petrol  |  Mumbai",Rs. 5.2 Lakh
2015 Maruti Suzuki Ciaz ZXi,"62,140 km  |  Petrol  |  Mumbai",Rs. 5.65 Lakh
2016 Honda Jazz S MT [2015-2016],"19,865 km  |  Petrol  |  Mumbai",Rs. 5.15 Lakh
