title,distance,prices
2022 Jeep Meridian Limited (O) 4X2 MT [2022],"19,949 km  |  Diesel  |  Hyderabad",Rs. 37 Lakh
2018 Maruti Suzuki Dzire VDi AMT,"68,350 km  |  Diesel  |  Hyderabad",Rs. 7.5 Lakh
2020 Ford Endeavour Trend 2.2 4x2 AT,"61,919 km  |  Diesel  |  Hyderabad",Rs. 40 Lakh
2014 Hyundai i20 Asta 1.4 CRDI,"53,100 km  |  Diesel  |  Hyderabad",Rs. 5 Lakh
2014 Hyundai i20 Asta 1.4 CRDI,"53,100 km  |  Diesel  |  Hyderabad",Rs. 5 Lakh
2019 Honda City VX CVT,"36,375 km  |  Petrol  |  Hyderabad",Rs. 12.5 Lakh
2009 Toyota Fortuner 3.0 MT,"1,02,418 km  |  Diesel  |  Hyderabad",Rs. 12 Lakh
2019 Ford EcoSport Titanium 1.5L TDCi,"51,208 km  |  Diesel  |  Hyderabad",Rs. 10.5 Lakh
2018 Audi Q3 30 TDI Premium FWD,"57,161 km  |  Diesel  |  Hyderabad",Rs. 27 Lakh
2019 Isuzu D-MAX V-Cross Standard,"30,166 km  |  Diesel  |  Hyderabad",Rs. 11.75 Lakh
2019 BMW 6 Series GT 630d Luxury Line [2018-2019],"68,885 km  |  Diesel  |  Hyderabad",Rs. 59.95 Lakh
2022 Land Rover Defender 110 HSE 2.0 Petrol [2021],"12,196 km  |  Petrol  |  Hyderabad",Rs. 1.25 Crore
2017 Hyundai Creta SX Plus 1.6 AT CRDI,"95,346 km  |  Diesel  |  Hyderabad",Rs. 13 Lakh
2021 Isuzu D-Max Hi-Lander [2021],"49,061 km  |  Diesel  |  Hyderabad",Rs. 12.5 Lakh
2020 Mercedes-Benz GLS 400d 4MATIC [2020-2023],"46,701 km  |  Diesel  |  Hyderabad",Rs. 1.18 Crore
2023 Volvo XC90 B6 Ultimate [2022-2023],"1,040 km  |  Mild Hybrid(Electric + Petrol)  |  Hyderabad",Rs. 1.15 Crore
2017 BMW 5 Series 530d M Sport [2017-2019],"68,257 km  |  Diesel  |  Hyderabad",Rs. 42 Lakh
2013 Toyota Fortuner 3.0 4x2 MT,"2,13,506 km  |  Diesel  |  Hyderabad",Rs. 16 Lakh
2010 Land Rover Range Rover 4.4 V8 SE Diesel,"1,03,541 km  |  Diesel  |  Hyderabad",Rs. 39.5 Lakh
2018 Volvo XC60 Inscription [2017-2020],"1,21,903 km  |  Diesel  |  Hyderabad",Rs. 35 Lakh
2012 Ford Endeavour 3.0L 4x2 AT,"1,22,341 km  |  Diesel  |  Hyderabad",Rs. 7 Lakh
2016 Volkswagen Ameo Highline1.5L (D) [2016-2018],"85,370 km  |  Diesel  |  Hyderabad",Rs. 6.5 Lakh
2017 Maruti Suzuki Dzire VDi,"66,814 km  |  Diesel  |  Hyderabad",Rs. 7.5 Lakh
2020 Lexus NX 300h Exquisite,"12,854 km  |  Hybrid  |  Hyderabad",Rs. 67 Lakh
