title,distance,prices
2015 Skoda Superb Elegance TSI AT,"65,967 km  |  Petrol  |  Navi Mumbai",Rs. 9.44 Lakh
2019 Renault Triber RXZ [2019-2020],"19,828 km  |  Petrol  |  Navi Mumbai",Rs. 6.19 Lakh
2021 Renault Kiger RXT Turbo CVT,"10,049 km  |  Petrol  |  Navi Mumbai",Rs. 8.69 Lakh
2022 Skoda Slavia Style 1.0L TSI AT,"16,900 km  |  Petrol  |  Navi Mumbai",Rs. 15.1 Lakh
2020 Maruti Suzuki Baleno Zeta Dualjet,"23,938 km  |  Petrol  |  Navi Mumbai",Rs. 7.14 Lakh
2020 Maruti Suzuki S-Presso VXi AMT,"36,856 km  |  Petrol  |  Navi Mumbai",Rs. 4.29 Lakh
2022 Hyundai Grand i10 Nios Sportz 1.2 Kappa VTVT CNG,"21,423 km  |  CNG  |  Navi Mumbai",Rs. 7.45 Lakh
2016 Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],"29,275 km  |  Petrol  |  Navi Mumbai",Rs. 4.28 Lakh
2017 Hyundai Elite i20 Asta 1.2,"46,872 km  |  Petrol  |  Navi Mumbai",Rs. 6.1 Lakh
2015 Hyundai Elite i20 Asta 1.2,"37,605 km  |  Petrol  |  Navi Mumbai",Rs. 5.11 Lakh
2019 Hyundai Venue SX (O) 1.0 Turbo,"31,068 km  |  Petrol  |  Navi Mumbai",Rs. 9.84 Lakh
2017 Maruti Suzuki Wagon R 1.0 VXI AMT,"11,536 km  |  Petrol  |  Navi Mumbai",Rs. 4.64 Lakh
2017 Hyundai Grand i10 Asta 1.2 Kappa VTVT,"56,638 km  |  Petrol  |  Navi Mumbai",Rs. 5.3 Lakh
2015 Hyundai i10 Sportz 1.2 Kappa2,"31,650 km  |  Petrol  |  Navi Mumbai",Rs. 3.14 Lakh
2013 Volkswagen Polo Comfortline 1.2L (P),"1,21,157 km  |  Petrol  |  Navi Mumbai",Rs. 3.36 Lakh
2013 Hyundai Verna Fluidic 1.6 VTVT SX,"93,211 km  |  Petrol  |  Navi Mumbai",Rs. 4.62 Lakh
2018 Maruti Suzuki Vitara Brezza ZDi,"38,450 km  |  Diesel  |  Navi Mumbai",Rs. 7.99 Lakh
2018 Maruti Suzuki Wagon R 1.0 LXI CNG,"64,332 km  |  CNG  |  Navi Mumbai",Rs. 4.45 Lakh
2021 Volkswagen Taigun Highline 1.0 TSI MT,"8,350 km  |  Petrol  |  Navi Mumbai",Rs. 12.22 Lakh
2014 Maruti Suzuki Swift DZire ZXI,"19,990 km  |  Petrol  |  Navi Mumbai",Rs. 4.94 Lakh
2018 Maruti Suzuki Dzire VXi AMT,"35,670 km  |  Petrol  |  Navi Mumbai",Rs. 6.49 Lakh
2014 Maruti Suzuki Swift DZire ZXI,"19,990 km  |  Petrol  |  Navi Mumbai",Rs. 4.94 Lakh
2018 Maruti Suzuki Dzire VXi AMT,"35,670 km  |  Petrol  |  Navi Mumbai",Rs. 6.49 Lakh
2019 Mahindra KUV100 NXT K8 6 STR [2017-2020],"28,442 km  |  Petrol  |  Navi Mumbai",Rs. 5.29 Lakh
2011 Hyundai i10 Sportz 1.2 Kappa2,"89,763 km  |  Petrol  |  Navi Mumbai",Rs. 1.99 Lakh
2020 Tata Nexon XM,"13,154 km  |  Petrol  |  Navi Mumbai",Rs. 7.98 Lakh
2014 Hyundai Grand i10 Asta 1.2 Kappa VTVT [2013-2016],"49,247 km  |  Petrol  |  Navi Mumbai",Rs. 4.25 Lakh
2018 Hyundai Creta SX 1.6 AT Petrol,"29,252 km  |  Petrol  |  Navi Mumbai",Rs. 11.53 Lakh
2021 Honda Amaze 1.2 S MT Petrol [2018-2020],"4,579 km  |  Petrol  |  Navi Mumbai",Rs. 6.77 Lakh
2015 Maruti Suzuki Stingray VXi,"32,171 km  |  Petrol  |  Navi Mumbai",Rs. 2.93 Lakh
2015 Honda City V,"38,539 km  |  Petrol  |  Navi Mumbai",Rs. 4.99 Lakh
2016 Renault Kwid RXT [2015-2019],"46,532 km  |  Petrol  |  Navi Mumbai",Rs. 2.92 Lakh
2015 Volkswagen Polo Highline1.2L (P),"56,588 km  |  Petrol  |  Navi Mumbai",Rs. 4.69 Lakh
2022 Maruti Suzuki Ciaz Alpha 1.5 [2020-2023],"9,931 km  |  Petrol  |  Navi Mumbai",Rs. 9.83 Lakh
2019 Hyundai Venue SX Plus 1.0 Turbo DCT,"12,050 km  |  Petrol  |  Navi Mumbai",Rs. 10.68 Lakh
2018 Honda WR-V VX MT Petrol,"10,300 km  |  Petrol  |  Navi Mumbai",Rs. 7.49 Lakh
2016 BMW 3 Series GT 320d Luxury Line [2014-2016],"43,800 km  |  Diesel  |  Navi Mumbai",Rs. 22.75 Lakh
2017 Mercedes-Benz CLA 200 CDI Sport,"57,700 km  |  Diesel  |  Navi Mumbai",Rs. 22.5 Lakh
2017 Audi Q3 30 TDI Premium FWD,"52,200 km  |  Diesel  |  Navi Mumbai",Rs. 21.5 Lakh
2017 BMW X1 sDrive20d xLine,"62,700 km  |  Diesel  |  Navi Mumbai",Rs. 22.75 Lakh
2018 Jaguar F-Pace Prestige,"43,000 km  |  Diesel  |  Navi Mumbai",Rs. 44.75 Lakh
2020 Mercedes-Benz GLC 200 Progressive [2019-2021],"41,000 km  |  Petrol  |  Navi Mumbai",Rs. 48.5 Lakh
2018 Land Rover Range Rover Evoque Pure,"62,000 km  |  Diesel  |  Navi Mumbai",Rs. 37.5 Lakh
2018 Audi A3 35 TFSI Premium Plus,"33,600 km  |  Petrol  |  Navi Mumbai",Rs. 21.5 Lakh
2017 Audi A3 35 TDI Premium,"50,500 km  |  Diesel  |  Navi Mumbai",Rs. 15.5 Lakh
2016 BMW 3 Series GT 320d Sport Line [2014-2016],"56,400 km  |  Diesel  |  Navi Mumbai",Rs. 18.75 Lakh
2017 Aston Martin Rapide S V12,"7,000 km  |  Petrol  |  Navi Mumbai",Rs. 2.5 Crore
2018 BMW X1 sDrive20d xLine,"36,000 km  |  Diesel  |  Navi Mumbai",Rs. 24.3 Lakh
2012 Mercedes-Benz S-Class 350 CDI L,"75,600 km  |  Diesel  |  Navi Mumbai",Rs. 16.5 Lakh
2015 BMW X5 xDrive30d Pure Experience (5 Seater),"81,100 km  |  Diesel  |  Navi Mumbai",Rs. 30.5 Lakh
2016 BMW 3 Series GT 320d Luxury Line [2014-2016],"72,700 km  |  Diesel  |  Navi Mumbai",Rs. 23.75 Lakh
2014 Volvo V40 Cross Country D3,"73,500 km  |  Diesel  |  Navi Mumbai",Rs. 11.5 Lakh
2018 Mercedes-Benz GLS 400 4MATIC,"58,000 km  |  Petrol  |  Navi Mumbai",Rs. 63.5 Lakh
2018 Mercedes-Benz E-Class E 220 d Avantgarde,"25,600 km  |  Diesel  |  Navi Mumbai",Rs. 40.5 Lakh
2009 Mercedes-Benz C-Class 230 Avantgarde,"86,500 km  |  Petrol  |  Navi Mumbai",Rs. 5.25 Lakh
2016 Audi Q7 45 TDI Technology Pack,"81,600 km  |  Diesel  |  Navi Mumbai",Rs. 37.5 Lakh
2012 BMW X3 xDrive20d,"85,500 km  |  Diesel  |  Navi Mumbai",Rs. 11.75 Lakh
2017 BMW X5 xDrive30d Pure Experience (5 Seater),"66,500 km  |  Diesel  |  Navi Mumbai",Rs. 37 Lakh
2017 BMW X1 sDrive20d Expedition,"51,000 km  |  Diesel  |  Navi Mumbai",Rs. 22.5 Lakh
2018 BMW 5 Series 520d Luxury Line [2017-2019],"40,750 km  |  Diesel  |  Navi Mumbai",Rs. 36.5 Lakh
2017 Mercedes-Benz C-Class C 220 CDI Avantgarde,"48,900 km  |  Diesel  |  Navi Mumbai",Rs. 25.5 Lakh
2009 Bentley Continental Flying Spur Sedan,"95,500 km  |  Petrol  |  Navi Mumbai",Rs. 58 Lakh
2013 Audi A6 2.0 TDI Premium,"56,500 km  |  Diesel  |  Navi Mumbai",Rs. 13 Lakh
2017 Audi A3 35 TFSI Premium Plus,"46,800 km  |  Petrol  |  Navi Mumbai",Rs. 21.5 Lakh
2017 Mercedes-Benz E-Class E 350 d Exclusive [2017-2019],"50,900 km  |  Diesel  |  Navi Mumbai",Rs. 37.5 Lakh
2016 Mercedes-Benz GLC 300 Progressive,"78,300 km  |  Petrol  |  Navi Mumbai",Rs. 30.75 Lakh
2017 Audi A4 35 TDI Premium Plus,"48,200 km  |  Diesel  |  Navi Mumbai",Rs. 23.75 Lakh
2017 BMW X3 xDrive-20d xLine,"66,500 km  |  Diesel  |  Navi Mumbai",Rs. 28.5 Lakh
2019 Mercedes-Benz GLA 200 Sport,"33,350 km  |  Petrol  |  Navi Mumbai",Rs. 27 Lakh
