title,distance,prices
2017 Honda WR-V VX MT Diesel,"83,000 km  |  Diesel  |  Pune",Rs. 7.75 Lakh
2021 Mercedes-Benz AMG A35 4MATIC [2021-2023],"6,500 km  |  Petrol  |  Pune",Rs. 46 Lakh
2019 Jaguar XF Prestige Petrol CBU,"12,000 km  |  Petrol  |  Pune",Rs. 41 Lakh
2018 Audi A3 35 TFSI Premium Plus,"43,400 km  |  Petrol  |  Pune",Rs. 24 Lakh
2014 Mahindra XUV500 W8 [2015-2017],"53,444 km  |  Diesel  |  Pune",Rs. 6.75 Lakh
2019 Maruti Suzuki Celerio VXi CNG [2019-2020],"48,412 km  |  CNG  |  Pune",Rs. 5.5 Lakh
2012 Hyundai i10 Sportz 1.2 AT Kappa2,"71,571 km  |  Petrol  |  Pune",Rs. 3.25 Lakh
2018 Audi A4 35 TDI Technology,"18,700 km  |  Diesel  |  Pune",Rs. 31.25 Lakh
2017 Maruti Suzuki Baleno Zeta 1.2,"21,179 km  |  Petrol  |  Pune",Rs. 6.6 Lakh
2017 Hyundai i20 Active 1.2 SX Dual Tone,"62,012 km  |  Petrol  |  Pune",Rs. 6.25 Lakh
2013 Audi A4 2.0 TDI (177bhp) Premium Plus,"96,358 km  |  Diesel  |  Pune",Rs. 13.8 Lakh
2021 BMW 5 Series 520d Luxury Line [2017-2019],"33,000 km  |  Diesel  |  Pune",Rs. 58 Lakh
2020 Tata Tiago Revotron XZ,"22,004 km  |  Petrol  |  Pune",Rs. 5.8 Lakh
2012 Maruti Suzuki Wagon R 1.0 LXi CNG,"1,19,520 km  |  CNG  |  Pune",Rs. 2.85 Lakh
2018 Renault Captur RXE Diesel,"74,597 km  |  Diesel  |  Pune",Rs. 8.6 Lakh
2018 Jeep Compass Limited 2.0 Diesel [2017-2020],"54,657 km  |  Diesel  |  Pune",Rs. 12.8 Lakh
2020 Skoda Kodiaq Style 2.0 TDI 4x4 AT,"74,000 km  |  Diesel  |  Pune",Rs. 33 Lakh
2016 Hyundai Verna 1.6 VTVT S,"80,075 km  |  Petrol  |  Pune",Rs. 6.8 Lakh
2020 MINI Countryman Cooper S [2020-2021],"13,500 km  |  Petrol  |  Pune",Rs. 35.25 Lakh
2020 Hyundai Creta SX 1.5 Diesel Executive,"80,000 km  |  Diesel  |  Pune",Rs. 17 Lakh
2018 Audi A3 35 TDI Premium,"82,833 km  |  Diesel  |  Pune",Rs. 18.5 Lakh
2015 Jaguar XF 2.2 Diesel Luxury,"48,800 km  |  Diesel  |  Pune",Rs. 23.5 Lakh
2015 Skoda Rapid 1.5 TDI CR Elegance AT,"31,196 km  |  Diesel  |  Pune",Rs. 6.25 Lakh
2020 Maruti Suzuki Swift ZXi AMT [2018-2019],"56,275 km  |  Petrol  |  Pune",Rs. 7.9 Lakh
2017 Honda WR-V VX MT Diesel,"87,000 km  |  Diesel  |  Pune",Rs. 8.25 Lakh
2018 Honda City VX (O) MT BL Diesel,"1,29,155 km  |  Diesel  |  Pune",Rs. 9.7 Lakh
2018 Honda Amaze 1.5 VX MT Diesel [2018-2020],"68,775 km  |  Diesel  |  Pune",Rs. 8.5 Lakh
2021 Mahindra Thar LX Hard Top Diesel AT,"23,563 km  |  Diesel  |  Pune",Rs. 16.85 Lakh
2015 Maruti Suzuki Baleno Delta 1.2 AT,"56,200 km  |  Petrol  |  Pune",Rs. 5.7 Lakh
2012 Land Rover Range Rover Evoque Dynamic SD4,"30,000 km  |  Diesel  |  Pune",Rs. 22 Lakh
2016 Skoda Octavia Style TDI AT,"1,02,000 km  |  Diesel  |  Pune",Rs. 8.5 Lakh
2019 BMW 5 Series 520d Luxury Line [2017-2019],"52,050 km  |  Diesel  |  Pune",Rs. 46 Lakh
2016 Mercedes-Benz GL 350 CDI,"1,30,379 km  |  Diesel  |  Pune",Rs. 34.5 Lakh
2012 Honda Brio S MT,"1,18,384 km  |  Petrol  |  Pune",Rs. 2.9 Lakh
2019 Hyundai Elite i20 Sportz 1.2,"20,800 km  |  Petrol  |  Pune",Rs. 7.5 Lakh
2019 Ford Endeavour Titanium 2.2 4x2 AT,"49,000 km  |  Diesel  |  Pune",Rs. 31.5 Lakh
2019 Ford Endeavour Titanium 2.2 4x2 AT,"49,000 km  |  Diesel  |  Pune",Rs. 31.5 Lakh
2015 Mitsubishi Pajero Sport 2.5 MT,"3,18,544 km  |  Diesel  |  Pune",Rs. 8.65 Lakh
