title,distance,prices
2018 Maruti Suzuki Swift VXi AMT [2018-2019],"28,285 km  |  Petrol  |  Chandigarh",Rs. 5.59 Lakh
2018 Maruti Suzuki Baleno Delta 1.2,"81,327 km  |  Petrol  |  Chandigarh",Rs. 4.95 Lakh
2018 Hyundai Xcent SX 1.2,"63,645 km  |  Petrol  |  Chandigarh",Rs. 5.72 Lakh
2018 Hyundai Santro Sportz [2018-2020],"25,321 km  |  Petrol  |  Chandigarh",Rs. 4.18 Lakh
2021 BMW 7 Series 730Ld DPE Signature,"22,369 km  |  Diesel  |  Chandigarh",Rs. 1.05 Crore
2022 BMW X3 xDrive30i M Sport,"8,450 km  |  Petrol  |  Chandigarh",Rs. 71.9 Lakh
2020 BMW X3 xDrive 20d Luxury Line [2018-2020],"32,321 km  |  Diesel  |  Chandigarh",Rs. 49.9 Lakh
2017 BMW X3 xDrive 20d Expedition,"43,498 km  |  Diesel  |  Chandigarh",Rs. 29.9 Lakh
2020 Volvo XC40 T4 R-Design,"27,788 km  |  Petrol  |  Chandigarh",Rs. 37.49 Lakh
2016 Mercedes-Benz GL 350 CDI,"56,957 km  |  Diesel  |  Chandigarh",Rs. 37.9 Lakh
2017 BMW X3 xDrive 20d Expedition,"42,750 km  |  Diesel  |  Chandigarh",Rs. 33.5 Lakh
2021 Mercedes-Benz C-Class C200 Progressive,"32,325 km  |  Petrol  |  Chandigarh",Rs. 44.9 Lakh
2019 Mercedes-Benz C-Class C220d Prime,"31,657 km  |  Diesel  |  Chandigarh",Rs. 33.9 Lakh
2019 Mercedes-Benz C-Class C220d Prime,"31,657 km  |  Diesel  |  Chandigarh",Rs. 33.9 Lakh
2015 BMW 3 Series GT 320d Luxury Line [2014-2016],"18,511 km  |  Diesel  |  Chandigarh",Rs. 21.9 Lakh
2020 Audi A3 35 TDI Technology + Sunroof,"40,321 km  |  Diesel  |  Chandigarh",Rs. 23.9 Lakh
2020 Mercedes-Benz S-Class (W222) S 350D [2018-2020],"18,346 km  |  Diesel  |  Chandigarh",Rs. 97 Lakh
2017 BMW 3 Series 320d Prestige,"54,776 km  |  Diesel  |  Chandigarh",Rs. 18.9 Lakh
2017 Mercedes-Benz E-Class E 220 d Avantgarde,"58,980 km  |  Diesel  |  Chandigarh",Rs. 36.5 Lakh
2016 BMW X3 xDrive 20d Expedition,"39,321 km  |  Diesel  |  Chandigarh",Rs. 19.9 Lakh
2021 BMW X7 xDrive40i M Sport,"67,345 km  |  Petrol  |  Chandigarh",Rs. 1.01 Crore
2022 Volvo XC60 Inscription [2017-2020],"20,160 km  |  Diesel  |  Chandigarh",Rs. 61 Lakh
2018 Mercedes-Benz E-Class E 200,"26,598 km  |  Petrol  |  Chandigarh",Rs. 47.9 Lakh
2021 Mercedes-Benz C-Class C200 Progressive,"40,045 km  |  Petrol  |  Chandigarh",Rs. 43.9 Lakh
2021 Mercedes-Benz C-Class C200 Progressive,"25,819 km  |  Petrol  |  Chandigarh",Rs. 45.9 Lakh
2021 Mercedes-Benz C-Class C 220d Progressive [2018-2019],"11,848 km  |  Diesel  |  Chandigarh",Rs. 39.9 Lakh
2022 Volvo XC40 T4 R-Design,"16,433 km  |  Petrol  |  Chandigarh",Rs. 43.75 Lakh
2018 Volvo XC40 D4 R-Design,"56,426 km  |  Diesel  |  Chandigarh",Rs. 29.9 Lakh
2018 Mercedes-Benz C-Class C 200 Avantgarde Edition,"38,668 km  |  Petrol  |  Chandigarh",Rs. 33.5 Lakh
2020 Mercedes-Benz C-Class C 200 Progressive [2018-2020],"32,628 km  |  Petrol  |  Chandigarh",Rs. 41.9 Lakh
2016 Audi Q7 45 TDI Technology Pack,"72,222 km  |  Diesel  |  Chandigarh",Rs. 39.5 Lakh
2017 Audi Q3 35 TDI Premium + Sunroof,"63,017 km  |  Diesel  |  Chandigarh",Rs. 19.9 Lakh
2017 BMW X1 sDrive20d xLine,"30,900 km  |  Diesel  |  Chandigarh",Rs. 21.9 Lakh
2022 Mercedes-Benz GLE 300d 4MATIC LWB,"7,650 km  |  Diesel  |  Chandigarh",Rs. 91 Lakh
2020 Mercedes-Benz C-Class C220d Prime,"34,496 km  |  Diesel  |  Chandigarh",Rs. 39 Lakh
2019 BMW X1 sDrive20d xLine,"48,962 km  |  Diesel  |  Chandigarh",Rs. 27.9 Lakh
2018 Volvo S60 D4 R,"57,121 km  |  Diesel  |  Chandigarh",Rs. 19.75 Lakh
2015 Audi A4 35 TDI Premium Sunroof,"48,933 km  |  Diesel  |  Chandigarh",Rs. 15.75 Lakh
2015 Mercedes-Benz GL 350 CDI,"80,660 km  |  Diesel  |  Chandigarh",Rs. 31.9 Lakh
2019 Mercedes-Benz E-Class E 220d Exclusive [2019-2019],"50,605 km  |  Diesel  |  Chandigarh",Rs. 39.9 Lakh
2018 Mercedes-Benz GLE 250 d,"52,933 km  |  Diesel  |  Chandigarh",Rs. 47 Lakh
2022 Mercedes-Benz GLE 300d 4MATIC LWB,"32,719 km  |  Diesel  |  Chandigarh",Rs. 87.9 Lakh
2021 Audi A4 Premium Plus 40 TFSI,"10,680 km  |  Petrol  |  Chandigarh",Rs. 37.49 Lakh
2020 BMW 5 Series 520d Luxury Line [2017-2019],"21,421 km  |  Diesel  |  Chandigarh",Rs. 45.9 Lakh
2015 Mercedes-Benz GL 350 CDI,"77,029 km  |  Diesel  |  Chandigarh",Rs. 35.9 Lakh
2019 Mercedes-Benz CLA 200 D Urban Sport,"44,132 km  |  Diesel  |  Chandigarh",Rs. 26.9 Lakh
2021 BMW 5 Series 520d Luxury Line [2017-2019],"31,717 km  |  Diesel  |  Chandigarh",Rs. 54.9 Lakh
2019 Mercedes-Benz E-Class E 220d Expression [2019-2019],"39,547 km  |  Diesel  |  Chandigarh",Rs. 47.9 Lakh
2022 Mercedes-Benz GLE 300d 4MATIC LWB,"43,703 km  |  Diesel  |  Chandigarh",Rs. 85.9 Lakh
2021 Mercedes-Benz C-Class C 220d Progressive [2018-2019],"23,616 km  |  Diesel  |  Chandigarh",Rs. 43.9 Lakh
2019 Jaguar F-Pace Prestige,"2,445 km  |  Diesel  |  Chandigarh",Rs. 59 Lakh
2018 Audi A6 35 TDI Matrix,"57,000 km  |  Diesel  |  Chandigarh",Rs. 27 Lakh
2020 BMW X5 xDrive30d xLine,"33,000 km  |  Diesel  |  Chandigarh",Rs. 79.75 Lakh
2019 BMW 6 Series GT 620d Luxury Line [2019-2019],"42,000 km  |  Diesel  |  Chandigarh",Rs. 48.5 Lakh
2020 BMW X3 xDrive-20d xLine,"40,000 km  |  Diesel  |  Chandigarh",Rs. 51.5 Lakh
2023 BMW X1 sDrive20i Tech Edition,"13,000 km  |  Petrol  |  Chandigarh",Rs. 42.5 Lakh
2022 Porsche Macan Base [2019-2020],"10,000 km  |  Petrol  |  Chandigarh",Rs. 85.5 Lakh
2019 BMW X1 sDrive20d Expedition,"66,000 km  |  Diesel  |  Chandigarh",Rs. 26.95 Lakh
2018 BMW 5 Series 520d Luxury Line [2017-2019],"39,800 km  |  Diesel  |  Chandigarh",Rs. 41.9 Lakh
2015 BMW 3 Series GT 320d Luxury Line [2014-2016],"49,000 km  |  Diesel  |  Chandigarh",Rs. 18.71 Lakh
2015 BMW 5 Series 520d Luxury Line,"57,000 km  |  Diesel  |  Chandigarh",Rs. 19.25 Lakh
2023 Jeep Wrangler Rubicon,"18,000 km  |  Petrol  |  Chandigarh",Rs. 67 Lakh
2023 Mercedes-Benz AMG A35 4MATIC [2021-2023],"1,900 km  |  Petrol  |  Chandigarh",Rs. 55 Lakh
2019 BMW X5 xDrive30d xLine,"38,000 km  |  Diesel  |  Chandigarh",Rs. 73.75 Lakh
2019 Mercedes-Benz C-Class C 200 Progressive [2018-2020],"7,000 km  |  Petrol  |  Chandigarh",Rs. 38.75 Lakh
2023 BMW X5 xDrive40i M Sport,"24,000 km  |  Petrol  |  Chandigarh",Rs. 96 Lakh
2021 BMW X5 xDrive40i M Sport [2019-2019],"48,000 km  |  Petrol  |  Chandigarh",Rs. 84.25 Lakh
2021 Mercedes-Benz GLC 200 Progressive,"24,000 km  |  Petrol  |  Chandigarh",Rs. 60.5 Lakh
2020 Mercedes-Benz E-Class E 220d Exclusive [2019-2019],"33,000 km  |  Diesel  |  Chandigarh",Rs. 49.5 Lakh
2021 Kia Seltos GTX Plus AT 1.5 Diesel [2019-2020],"45,000 km  |  Diesel  |  Chandigarh",Rs. 16.75 Lakh
2018 Audi A3 Cabriolet 35 TFSI,"29,000 km  |  Petrol  |  Chandigarh",Rs. 48 Lakh
2018 Isuzu MU-X 4x4,"1,56,000 km  |  Diesel  |  Chandigarh",Rs. 17.5 Lakh
