title,distance,prices
2015 Honda City VX,"76,697 km  |  Petrol  |  Kolkata",Rs. 4.37 Lakh
2013 Maruti Suzuki Ritz Vxi (ABS) BS-IV,"43,864 km  |  Petrol  |  Kolkata",Rs. 2.35 Lakh
2015 Honda City VX,"76,697 km  |  Petrol  |  Kolkata",Rs. 4.37 Lakh
2012 Maruti Suzuki Ertiga ZXi,"80,724 km  |  Petrol  |  Kolkata",Rs. 4.24 Lakh
2015 Maruti Suzuki Swift VXi,"64,008 km  |  Petrol  |  Kolkata",Rs. 3.78 Lakh
2014 Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,"13,495 km  |  Petrol  |  Kolkata",Rs. 3.28 Lakh
2019 Maruti Suzuki Baleno Zeta 1.2 AT,"61,113 km  |  Petrol  |  Kolkata",Rs. 6.22 Lakh
2016 Renault Duster 110 PS RXZ 4X4 MT Diesel,"41,588 km  |  Diesel  |  Kolkata",Rs. 5.47 Lakh
2019 Jeep Compass Limited (O) 1.4 Petrol AT [2017-2020],"35,000 km  |  Petrol  |  Kolkata",Rs. 15.21 Lakh
2021 Kia Seltos HTX 1.5 [2020-2021],"4,000 km  |  Petrol  |  Kolkata",Rs. 13.25 Lakh
2018 Ford EcoSport Titanium 1.5L TDCi,"53,750 km  |  Diesel  |  Kolkata",Rs. 7.1 Lakh
2017 Hyundai Creta 1.6 SX Plus AT Petrol,"75,000 km  |  Petrol  |  Kolkata",Rs. 7.49 Lakh
2015 Honda City VX Diesel,"59,000 km  |  Diesel  |  Kolkata",Rs. 5.49 Lakh
2018 Maruti Suzuki Ertiga VXi,"22,286 km  |  Petrol  |  Kolkata",Rs. 6.7 Lakh
2021 Hyundai Creta SX 1.5 Petrol [2020-2022],"71,000 km  |  Petrol  |  Kolkata",Rs. 12.25 Lakh
2020 Jeep Compass Limited Plus 2.0 Diesel 4x4 AT,"45,107 km  |  Diesel  |  Kolkata",Rs. 17.5 Lakh
2014 Toyota Etios VX,"57,000 km  |  Petrol  |  Kolkata",Rs. 3.39 Lakh
2021 Honda City VX,"22,000 km  |  Petrol  |  Kolkata",Rs. 10.49 Lakh
2018 Hyundai Elite i20 Magna Executive 1.2,"43,000 km  |  Petrol  |  Kolkata",Rs. 4.99 Lakh
2014 Renault Scala RxZ Diesel,"62,000 km  |  Diesel  |  Kolkata",Rs. 2.25 Lakh
2015 Maruti Suzuki Celerio ZXi,"23,000 km  |  Petrol  |  Kolkata",Rs. 3.19 Lakh
2016 Honda City V,"61,000 km  |  Petrol  |  Kolkata",Rs. 4.95 Lakh
2018 Hyundai Grand i10 Magna 1.2 Kappa VTVT [2013-2016],"47,000 km  |  Petrol  |  Kolkata",Rs. 3.89 Lakh
2021 Renault Kwid CLIMBER 1.0 AMT [2017-2019],"8,000 km  |  Petrol  |  Kolkata",Rs. 4.49 Lakh
