title,distance,prices
2023 Mercedes-Benz GLA 220d [2021-2023],"3,500 km  |  Diesel  |  Ahmedabad",Rs. 50 Lakh
2023 Audi A4 Technology 40 TFSI [2021-2022],"4,209 km  |  Petrol  |  Ahmedabad",Rs. 40 Lakh
2020 Mercedes-Benz E-Class E 220d Exclusive [2019-2019],"62,300 km  |  Diesel  |  Ahmedabad",Rs. 52.5 Lakh
2023 Mercedes-Benz C-Class C 300d [2022-2023],"3,500 km  |  Diesel  |  Ahmedabad",Rs. 62.5 Lakh
2016 Honda City VX CVT,"95,513 km  |  Petrol  |  Ahmedabad",Rs. 6.6 Lakh
2012 Audi Q3 2.0 TDI quattro Premium Plus,"1,17,117 km  |  Diesel  |  Ahmedabad",Rs. 11 Lakh
2023 Audi A6 35 TFSI Technology,"5,298 km  |  Petrol  |  Ahmedabad",Rs. 54 Lakh
2022 Mercedes-Benz AMG GLA35 4MATIC [2021-2023],"2,500 km  |  Petrol  |  Ahmedabad",Rs. 55.25 Lakh
2017 Honda City 4th Generation V CVT Petrol [2017-2019],"56,468 km  |  Petrol  |  Ahmedabad",Rs. 7.9 Lakh
2015 Maruti Suzuki S-Cross Alpha 1.3,"45,408 km  |  Diesel  |  Ahmedabad",Rs. 6.5 Lakh
2013 Audi A4 35 TDI Premium,"80,790 km  |  Diesel  |  Ahmedabad",Rs. 13.5 Lakh
2021 Mercedes-Benz GLE 300d 4MATIC LWB,"34,000 km  |  Diesel  |  Ahmedabad",Rs. 76.25 Lakh
2022 Audi A6 Technology 45 TFSI,"4,093 km  |  Petrol  |  Ahmedabad",Rs. 52 Lakh
2014 Audi A4 2.0 TDI (177bhp) Premium Plus,"1,02,640 km  |  Diesel  |  Ahmedabad",Rs. 15.75 Lakh
2022 Maruti Suzuki Ertiga ZXi AT,"28,466 km  |  Petrol  |  Ahmedabad",Rs. 12.5 Lakh
2021 Hyundai Verna SX (O) 1.0 Turbo DCT,"21,515 km  |  Petrol  |  Ahmedabad",Rs. 13.5 Lakh
2022 Maruti Suzuki Celerio VXi,"2,607 km  |  Petrol  |  Ahmedabad",Rs. 5.25 Lakh
2017 Mahindra XUV500 W10 AWD,"73,089 km  |  Diesel  |  Ahmedabad",Rs. 8.61 Lakh
2019 Honda City 4th Generation ZX CVT Petrol [2017-2019],"61,515 km  |  Petrol  |  Ahmedabad",Rs. 9.44 Lakh
2017 Honda WR-V VX MT Diesel,"69,307 km  |  Diesel  |  Ahmedabad",Rs. 7.08 Lakh
2020 Maruti Suzuki Swift LXi,"29,918 km  |  Petrol  |  Ahmedabad",Rs. 5.75 Lakh
2017 Hyundai Elite i20 Asta 1.2 (O) [2016],"42,289 km  |  Petrol  |  Ahmedabad",Rs. 6.39 Lakh
2019 Maruti Suzuki Vitara Brezza ZDi Plus Dual Tone AGS,"58,700 km  |  Diesel  |  Ahmedabad",Rs. 9.75 Lakh
2019 Tata Harrier XZ Dual Tone,"1,20,617 km  |  Diesel  |  Ahmedabad",Rs. 12.78 Lakh
2014 Honda City SV,"1,22,850 km  |  Petrol  |  Ahmedabad",Rs. 5.04 Lakh
2022 Hyundai Venue S Plus 1.2 Petrol,"12,610 km  |  Petrol  |  Ahmedabad",Rs. 8.94 Lakh
2021 Maruti Suzuki Baleno Zeta 1.2,"31,237 km  |  Petrol  |  Ahmedabad",Rs. 7.27 Lakh
2021 Maruti Suzuki Vitara Brezza VXi,"40,000 km  |  Petrol  |  Ahmedabad",Rs. 8.9 Lakh
2019 Hyundai Verna SX Plus 1.6 VTVT AT,"59,200 km  |  Petrol  |  Ahmedabad",Rs. 10.5 Lakh
2021 Hyundai Aura SX Plus 1.2 AMT Petrol,"34,132 km  |  Petrol  |  Ahmedabad",Rs. 7.3 Lakh
2017 Volkswagen Polo Highline1.5L (D),"96,008 km  |  Diesel  |  Ahmedabad",Rs. 5.02 Lakh
2016 Hyundai Creta 1.6 SX Plus AT Petrol,"1,01,064 km  |  Petrol  |  Ahmedabad",Rs. 8.59 Lakh
2015 Hyundai Elite i20 Asta 1.4 (O) CRDi,"1,02,886 km  |  Diesel  |  Ahmedabad",Rs. 5.41 Lakh
2017 Ford EcoSport Titanium 1.5L Ti-VCT,"85,183 km  |  Petrol  |  Ahmedabad",Rs. 6.2 Lakh
2020 Hyundai i20 Asta 1.2 IVT,"58,400 km  |  Petrol  |  Ahmedabad",Rs. 7.53 Lakh
2014 Volkswagen Polo Highline1.2L (P),"80,805 km  |  Petrol  |  Ahmedabad",Rs. 3.74 Lakh
2017 Maruti Suzuki Celerio ZXi AMT [2017-2019],"30,000 km  |  Petrol  |  Ahmedabad",Rs. 4.75 Lakh
2021 Maruti Suzuki Swift VXi AMT [2021-2023],"17,500 km  |  Petrol  |  Ahmedabad",Rs. 6.85 Lakh
2022 Mahindra Thar LX Hard Top Diesel AT 4WD [2023],"15,000 km  |  Diesel  |  Ahmedabad",Rs. 17.25 Lakh
2017 Maruti Suzuki Celerio VXi [2017-2019],"18,839 km  |  Petrol  |  Ahmedabad",Rs. 4.25 Lakh
2014 Maruti Suzuki Wagon R 1.0 VXI,"85,499 km  |  Petrol  |  Ahmedabad",Rs. 3.23 Lakh
2017 Honda Amaze 1.2 S i-VTEC Opt,"71,048 km  |  Petrol  |  Ahmedabad",Rs. 5.29 Lakh
2017 Maruti Suzuki Alto 800 Lxi,"45,801 km  |  Petrol  |  Ahmedabad",Rs. 2.98 Lakh
2017 Ford EcoSport Titanium 1.5L Ti-VCT,"45,065 km  |  Petrol  |  Ahmedabad",Rs. 4.1 Lakh
2012 Hyundai i10 Magna 1.2 Kappa2,"60,993 km  |  Petrol  |  Ahmedabad",Rs. 2.67 Lakh
2019 Maruti Suzuki Alto 800 LXi (O),"11,829 km  |  Petrol  |  Ahmedabad",Rs. 3.29 Lakh
2016 Hyundai i10 Sportz 1.1 iRDE2 [2010--2017],"71,835 km  |  Petrol  |  Ahmedabad",Rs. 3.28 Lakh
2013 Honda Brio S MT,"27,460 km  |  Petrol  |  Ahmedabad",Rs. 3.21 Lakh
2020 Maruti Suzuki Wagon R LXi 1.0 CNG,"60,618 km  |  CNG  |  Ahmedabad",Rs. 5.23 Lakh
2013 Maruti Suzuki Wagon R 1.0 LXi,"98,385 km  |  Petrol  |  Ahmedabad",Rs. 2.87 Lakh
2017 Maruti Suzuki Alto 800 Lxi,"14,334 km  |  Petrol  |  Ahmedabad",Rs. 2.74 Lakh
2022 Tata Tiago XT CNG [2022-2023],"49,959 km  |  CNG  |  Ahmedabad",Rs. 6.1 Lakh
2015 Maruti Suzuki Swift ZXi,"76,056 km  |  Petrol  |  Ahmedabad",Rs. 4.42 Lakh
2013 Hyundai i10 1.2 L Kappa Magna Special Edition,"37,545 km  |  Petrol  |  Ahmedabad",Rs. 2.65 Lakh
2018 Honda Amaze 1.2 S MT Petrol [2018-2020],"94,868 km  |  Petrol  |  Ahmedabad",Rs. 5.7 Lakh
2016 Honda Brio S MT,"61,836 km  |  Petrol  |  Ahmedabad",Rs. 4.14 Lakh
2012 Maruti Suzuki Swift VDi,"93,027 km  |  Diesel  |  Ahmedabad",Rs. 3.78 Lakh
2012 Honda Brio S MT,"50,570 km  |  Petrol  |  Ahmedabad",Rs. 2.84 Lakh
2012 Hyundai i10 Era 1.1 iRDE2 [2010-2017],"85,255 km  |  Petrol  |  Ahmedabad",Rs. 2.23 Lakh
2016 Hyundai Grand i10 Magna 1.2 Kappa VTVT [2017-2020],"48,325 km  |  Petrol  |  Ahmedabad",Rs. 4.38 Lakh
2019 Renault Kwid 1.0 RXT Opt,"50,524 km  |  Petrol  |  Ahmedabad",Rs. 3.38 Lakh
2017 Hyundai Grand i10 Magna 1.2 Kappa VTVT [2017-2020],"98,895 km  |  Petrol  |  Ahmedabad",Rs. 4.08 Lakh
2013 Maruti Suzuki Alto 800 Lxi,"9,008 km  |  Petrol  |  Ahmedabad",Rs. 2.49 Lakh
2021 Mahindra Thar LX Hard Top Petrol AT,"17,000 km  |  Petrol  |  Ahmedabad",Rs. 14.75 Lakh
2021 Hyundai Grand i10 Nios Sportz 1.2 Kappa VTVT,"25,303 km  |  Petrol  |  Ahmedabad",Rs. 6.11 Lakh
2017 Maruti Suzuki Baleno Delta 1.2,"66,170 km  |  Petrol  |  Ahmedabad",Rs. 5.04 Lakh
2022 Mahindra XUV700 AX 7 Petrol AT Luxury Pack 7 STR [2021],"6,671 km  |  Petrol  |  Ahmedabad",Rs. 22.15 Lakh
2017 Maruti Suzuki Ignis Alpha 1.2 MT,"49,433 km  |  Petrol  |  Ahmedabad",Rs. 4.47 Lakh
2020 MG Hector Sharp 1.5 DCT Petrol [2019-2020],"77,283 km  |  Petrol  |  Ahmedabad",Rs. 12.9 Lakh
2020 Hyundai Grand i10 Nios Magna 1.2 Kappa VTVT,"35,747 km  |  Petrol  |  Ahmedabad",Rs. 5.55 Lakh
2022 Toyota Urban Cruiser Premium Grade AT,"23,950 km  |  Petrol  |  Ahmedabad",Rs. 10.56 Lakh
2015 Maruti Suzuki Swift DZire VXI,"43,154 km  |  Petrol  |  Ahmedabad",Rs. 4.86 Lakh
2021 Toyota Urban Cruiser High Grade AT,"48,123 km  |  Petrol  |  Ahmedabad",Rs. 9.12 Lakh
2019 Tata Harrier XZ [2019-2020],"33,765 km  |  Diesel  |  Ahmedabad",Rs. 14.75 Lakh
