title,distance,prices
2020 Renault Kwid 1.0 RXT AMT Opt,"15,582 km  |  Petrol  |  Chennai",Rs. 4.97 Lakh
2022 Maruti Suzuki Swift VXi [2021-2023],"51,140 km  |  Petrol  |  Chennai",Rs. 6.66 Lakh
2018 Tata Tiago Revotron XM [2016-2019],"69,597 km  |  Petrol  |  Chennai",Rs. 4.15 Lakh
2018 Ford EcoSport Titanium + 1.5L Ti-VCT,"69,952 km  |  Petrol  |  Chennai",Rs. 7.38 Lakh
2016 Ford EcoSport Titanium 1.5L TDCi,"1,05,791 km  |  Diesel  |  Chennai",Rs. 6.4 Lakh
2012 Volkswagen Jetta Comfortline TDI,"1,05,000 km  |  Diesel  |  Chennai",Rs. 6 Lakh
2018 Hyundai Verna Fluidic 1.6 VTVT SX,"58,614 km  |  Petrol  |  Chennai",Rs. 8.75 Lakh
2017 Maruti Suzuki Baleno Zeta 1.2,"40,000 km  |  Petrol  |  Chennai",Rs. 8.25 Lakh
2018 Ford EcoSport Titanium 1.5L TDCi,"43,117 km  |  Diesel  |  Chennai",Rs. 7.78 Lakh
2020 Tata Tiago XT [2020-2023],"51,510 km  |  Petrol  |  Chennai",Rs. 4.99 Lakh
2020 Tata Tiago Revotron XE [2016-2019],"40,461 km  |  Petrol  |  Chennai",Rs. 4.67 Lakh
2017 Maruti Suzuki Celerio ZXi (O) AMT [2017-2019],"44,185 km  |  Petrol  |  Chennai",Rs. 4.82 Lakh
2022 Maruti Suzuki Swift VXi [2021-2023],"44,106 km  |  Petrol  |  Chennai",Rs. 7.09 Lakh
2017 Honda City 4th Generation V Petrol [2017-2019],"61,216 km  |  Petrol  |  Chennai",Rs. 6.95 Lakh
2018 BMW 6 Series GT 630d M Sport [2018-2019],"40,000 km  |  Diesel  |  Chennai",Rs. 52 Lakh
2018 Hyundai Creta SX Plus 1.6  Petrol,"43,000 km  |  Petrol  |  Chennai",Rs. 9.9 Lakh
2020 Kia Sonet GTX Plus 1.0 DCT [2020-2021],"30,000 km  |  Petrol  |  Chennai",Rs. 12 Lakh
2021 Maruti Suzuki Swift VXi [2021-2023],"57,363 km  |  Petrol  |  Chennai",Rs. 6.78 Lakh
2015 Honda City SV CVT,"53,000 km  |  Petrol  |  Chennai",Rs. 6.25 Lakh
2018 Tata Nexon XZ Plus Diesel,"60,000 km  |  Diesel  |  Chennai",Rs. 8.65 Lakh
2017 Tata Tiago Revotron XZ,"65,410 km  |  Petrol  |  Chennai",Rs. 4.16 Lakh
2015 Ford EcoSport Titanium+ 1.5L TDCi Black Edition,"1,06,593 km  |  Diesel  |  Chennai",Rs. 5.04 Lakh
2017 Honda City 4th Generation V Petrol [2017-2019],"40,163 km  |  Petrol  |  Chennai",Rs. 7.63 Lakh
2014 Ford EcoSport Titanium 1.5 Ti-VCT AT,"82,511 km  |  Petrol  |  Chennai",Rs. 5.5 Lakh
2017 Maruti Suzuki Celerio ZXi [2017-2019],"58,169 km  |  Petrol  |  Chennai",Rs. 4.81 Lakh
2017 Ford EcoSport Titanium+ 1.5L TDCi Black Edition,"67,137 km  |  Diesel  |  Chennai",Rs. 6.53 Lakh
2018 Maruti Suzuki Wagon R 1.0 VXI+ AMT (O),"44,969 km  |  Petrol  |  Chennai",Rs. 4.79 Lakh
2016 Maruti Suzuki Celerio VXi AMT ABS,"65,628 km  |  Petrol  |  Chennai",Rs. 4.03 Lakh
2021 Renault Kwid RXT [2015-2019],"36,852 km  |  Petrol  |  Chennai",Rs. 4.6 Lakh
2016 Maruti Suzuki Swift VDi ABS [2014-2017],"68,106 km  |  Diesel  |  Chennai",Rs. 5.88 Lakh
2017 Maruti Suzuki Wagon R 1.0 VXI AMT,"21,177 km  |  Petrol  |  Chennai",Rs. 4.18 Lakh
2017 Ford EcoSport Titanium 1.5L TDCi,"75,000 km  |  Diesel  |  Chennai",Rs. 7.35 Lakh
2018 Renault Duster 85 PS RXS 4X2 MT Diesel,"59,100 km  |  Diesel  |  Chennai",Rs. 8.35 Lakh
2015 Honda Brio VX MT,"52,044 km  |  Petrol  |  Chennai",Rs. 4.25 Lakh
2021 Toyota Innova Crysta GX 2.4 AT 7 STR,"20,000 km  |  Diesel  |  Chennai",Rs. 24.75 Lakh
2022 Hyundai Venue S 1.2 Petrol,"11,600 km  |  Petrol  |  Chennai",Rs. 9.25 Lakh
2018 Toyota Corolla Altis GL,"43,000 km  |  Diesel  |  Chennai",Rs. 14.9 Lakh
2012 Skoda Rapid Active 1.6 TDI CR MT,"98,000 km  |  Diesel  |  Chennai",Rs. 4 Lakh
2022 Hyundai Creta SX 1.5 Diesel [2020-2022],"29,000 km  |  Diesel  |  Chennai",Rs. 17.5 Lakh
2019 Hyundai i10 1.2 L Kappa Magna Special Edition,"33,000 km  |  Petrol  |  Chennai",Rs. 5.75 Lakh
2018 BMW 7 Series 730Ld DPE Signature,"17,001 km  |  Diesel  |  Chennai",Rs. 82 Lakh
2022 Mahindra Thar LX Hard Top Petrol AT,"9,000 km  |  Petrol  |  Chennai",Rs. 17.25 Lakh
2019 Tata Nexon XM Diesel,"1,25,000 km  |  Diesel  |  Chennai",Rs. 7 Lakh
2015 Hyundai Eon Sportz,"60,000 km  |  Petrol  |  Chennai",Rs. 2.8 Lakh
2022 MG Hector Sharp 2.0 Diesel Turbo MT,"17,000 km  |  Diesel  |  Chennai",Rs. 21 Lakh
2022 Skoda Kushaq Active 1.0 TSI MT,"4,800 km  |  Petrol  |  Chennai",Rs. 11.5 Lakh
2014 Hyundai Verna Fluidic 1.6 CRDi SX AT,"1,14,000 km  |  Diesel  |  Chennai",Rs. 6.25 Lakh
2019 Volvo S90 Momentum D4 [2018-2020],"45,000 km  |  Diesel  |  Chennai",Rs. 33 Lakh
2016 Maruti Suzuki Vitara Brezza ZDi Plus,"1,10,000 km  |  Diesel  |  Chennai",Rs. 7.75 Lakh
2013 Hyundai Elantra 1.6 SX AT,"1,00,000 km  |  Diesel  |  Chennai",Rs. 6.25 Lakh
2019 Volkswagen Polo Comfortline 1.0L TSI AT,"58,000 km  |  Petrol  |  Chennai",Rs. 9.5 Lakh
2019 Kia Seltos HTX Plus AT 1.5 Diesel [2019-2020],"30,000 km  |  Diesel  |  Chennai",Rs. 15.99 Lakh
2019 Hyundai Verna SX (O) AT Anniversary Edition 1.6 VTVT,"62,000 km  |  Petrol  |  Chennai",Rs. 10.75 Lakh
2019 Volkswagen Vento Comfortline Diesel [2015-2016],"60,500 km  |  Diesel  |  Chennai",Rs. 9.75 Lakh
2023 Kia Carens Luxury Plus 1.4 Petrol 7 STR,750 km  |  Petrol  |  Chennai,Rs. 20 Lakh
2017 Maruti Suzuki Vitara Brezza ZDi,"1,00,000 km  |  Diesel  |  Chennai",Rs. 8.25 Lakh
2019 Mercedes-Benz E-Class E 350 d Exclusive [2017-2019],"14,000 km  |  Diesel  |  Chennai",Rs. 62 Lakh
2021 Hyundai i20 Asta 1.2 MT [2020-2023],"12,000 km  |  Petrol  |  Chennai",Rs. 8.75 Lakh
2016 Hyundai Santa Fe 2WD MT [2014-2017],"1,74,000 km  |  Diesel  |  Chennai",Rs. 11.5 Lakh
